Oznaka;Debljina;Kvadratura;Duznih metara materijala;Broj elemenata
boja_MDF_visoki_sjaj;18;15.735262999999998;37.666000000000004;45

RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;2174;(x,0);582;;donji_vertikala#1_kant_duzina_1;-;2;
02;252;;348;;polica_kant#1_duzina_1;-;2;
03;254;(x,0);368;;viseci_pod#1_kant_duzina_1;-;2;
04;882;(x,0);368;(x,x);viseci_vertikala#1_kant_duzina_1_sirina_2;-;2;
05;100;(x,x);1010;(x,x);vrata_kant_obe_2;-;1;
06;100;(x,x);2411;(x,x);vrata_kant_obe_2;-;1;
07;132;(x,x);100;(x,x);vrata_kant_obe_2;-;2;
08;182;(x,x);597;(x,x);vrata_kant_obe_2;-;1;
09;190;(x,x);597;(x,x);vrata_kant_obe_2;-;1;
010;2207;(x,x);597;(x,x);vrata_kant_obe_2;-;1;
011;2274;(x,x);100;(x,x);vrata_kant_obe_2;-;2;
012;2346;(x,x);600;(x,x);vrata_kant_obe_2;-;2;
013;290;(x,x);100;(x,x);vrata_kant_obe_2;-;2;
014;290;(x,x);368;(x,x);vrata_kant_obe_2;-;1;
015;368;(x,x);1674;(x,x);vrata_kant_obe_2;-;1;
016;566;(x,x);100;(x,x);vrata_kant_obe_2;-;2;
017;597;(x,x);597;(x,x);vrata_kant_obe_2;-;1;
018;600;(x,x);100;(x,x);vrata_kant_obe_2;-;2;
019;630;(x,x);447;(x,x);vrata_kant_obe_2;-;1;
020;782;(x,x);155;(x,x);vrata_kant_obe_2;-;1;
021;782;(x,x);331;(x,x);vrata_kant_obe_2;-;1;
022;782;(x,x);47;(x,x);vrata_kant_obe_2;-;1;
023;782;(x,x);505;(x,x);vrata_kant_obe_2;-;1;
024;782;(x,x);65;(x,x);vrata_kant_obe_2;-;1;
025;839;(x,x);597;(x,x);vrata_kant_obe_2;-;1;
026;879;(x,x);416;(x,x);vrata_kant_obe_2;-;4;
027;879;(x,x);424;(x,x);vrata_kant_obe_2;-;1;
028;888;(x,x);578;(x,x);vrata_kant_obe_2;-;2;
029;936;(x,x);368;(x,x);vrata_kant_obe_2;-;2;
030;670;(x,x);670;(x,x);vrata_ugao_kant_obe_2;-;1;


Oznaka;Debljina;Kvadratura;Duznih metara materijala;Broj elemenata
boja_iverica_bela;18;14.639523999999998;39.967999999999996;58

RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;1294;(x,0);560;(x,x);donji_pod_kant_duzina_1_sirina_2;-;1;
02;400;(x,0);560;(x,x);donji_pod_kant_duzina_1_sirina_2;-;1;
03;582;(x,0);600;(x,x);donji_pod_kant_duzina_1_sirina_2;-;2;
04;600;(x,0);560;(x,x);donji_pod_kant_duzina_1_sirina_2;-;2;
05;770;(x,0);100;;donji_vertikala_kant_duzina_1;-;2;
06;770;(x,0);560;;donji_vertikala_kant_duzina_1;-;9;
07;846;(x,0);100;;donji_vertikala_kant_duzina_1;-;2;
08;500;;517;;pod_fioka;-;1;
09;562;(x,0);330;;polica_kant_duzina_1;-;1;
010;799;(x,0);330;;polica_kant_duzina_1;-;2;
011;517;(x,0);68;;prednja_fioka_kant_duzina_1;-;2;
012;500;(x,0);100;(x,x);strn_fioka_kant_duzina_1_sirina_2;-;2;
013;1102;(x,0);60;;vezac_kant_duzina_1;-;2;
014;138;(x,0);60;;vezac_kant_duzina_1;-;2;
015;315;(x,0);60;;vezac_kant_duzina_1;-;2;
016;564;(x,0);60;;vezac_kant_duzina_1;-;4;
017;564;(x,0);350;;viseci_pod_kant_duzina_1;-;2;
018;564;(x,0);560;;viseci_pod_kant_duzina_1;-;1;
019;564;(x,0);577;;viseci_pod_kant_duzina_1;-;2;
020;801;(x,0);350;;viseci_pod_kant_duzina_1;-;4;
021;652;(x,0);652;;viseci_ugao_kant_duzina_1#1;-;4;
022;882;(x,0);350;(x,x);viseci_vertikala_kant_duzina_1_sirina_2;-;8;


Oznaka;Debljina;Kvadratura;Duznih metara materijala;Broj elemenata
boja_radna_ploca;12;2.004;3.34;2

RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;360;;600;;ploca#1;-;1;
02;2980;;600;;ploca;-;1;


Oznaka;Debljina;Kvadratura;Duznih metara materijala;Broj elemenata
boja_lesonit_beli;3;6.813850000000001;10.482;11

RB;DUZINA;KT;SIRINA;KT1;OZNAKA;T;KOM
01;2198;;588;;lesonit;-;1;
02;776;;1282;;lesonit;-;1;
03;776;;388;;lesonit;-;1;
04;776;;588;;lesonit;-;2;
05;830;;588;;lesonit;-;1;
06;870;;278;;lesonit;-;1;
07;870;;658;;lesonit;-;1;
08;870;;661;;lesonit;-;1;
09;870;;825;;lesonit;-;2;


