"Material","Definition Name","LenY","LenX","LenZ","Quantity"
"##_farbani_mdf","polica_kant_duzina_1","181 mm","382 mm","18 mm","1"
"##_farbani_mdf","polica_kant_duzina_1","364 mm","382 mm","18 mm","2"
"##_farbani_mdf","polica_kant_duzina_1","809 mm","382 mm","18 mm","2"
"##_farbani_mdf","vrata_kant_obe_2","1276 mm","397 mm","18 mm","2"
"##_farbani_mdf","vrata_kant_obe_2","1282 mm","382 mm","18 mm","2"
"##_farbani_mdf","vrata_kant_obe_2","187 mm","397 mm","18 mm","2"
"##_farbani_mdf","vrata_kant_obe_2","289 mm","382 mm","18 mm","1"
"##_farbani_mdf","vrata_kant_obe_2","376 mm","538 mm","18 mm","1"
"##_farbani_mdf","vrata_kant_obe_2","382 mm","382 mm","18 mm","4"
"##_farbani_mdf","vrata_kant_obe_2","597 mm","382 mm","18 mm","2"
"##_farbani_mdf_ploca","ploca","1300 mm","150 mm","44 mm","1"
"##_farbani_mdf_ploca","ploca","1750 mm","400 mm","44 mm","2"
"##_farbani_mdf_ploca","ploca","400 mm","400 mm","44 mm","2"
"##_farbani_mdf_ploca","ploca","800 mm","400 mm","44 mm","2"
"##_iverica_bela","pod_fioka","350 mm","317 mm","18 mm","2"
"##_iverica_bela","polica#1_kant_duzina_1","362 mm","762 mm","18 mm","3"
"##_iverica_bela","prednja_fioka_kant_duzina_1","317 mm","88 mm","18 mm","4"
"##_iverica_bela","strn_fioka_kant_duzina_1_sirina_2","350 mm","120 mm","18 mm","4"
"##_lesonit","lesonit","1358 mm","788 mm","3 mm","1"
"##_lesonit","lesonit","458 mm","1738 mm","3 mm","1"
"##_lesonit","lesonit","673 mm","388 mm","3 mm","1"
"","generic_fioka_skrivina#2","500 mm","518 mm","250 mm","2"
"","generic_lesonit#2","1370 mm","800 mm","3 mm","1"
"","generic_lesonit#3","470 mm","1750 mm","3 mm","1"
"","generic_lesonit#4","685 mm","400 mm","3 mm","1"
"","generic_ploca#1","1300 mm","150 mm","44 mm","1"
"","generic_ploca#4","800 mm","600 mm","44 mm","2"
"","generic_ploca#5","400 mm","400 mm","44 mm","2"
"","generic_ploca#7","1750 mm","400 mm","44 mm","2"
"","generic_polica#1","809 mm","382 mm","18 mm","1"
"","generic_polica#3","181 mm","382 mm","18 mm","1"
"","generic_polica#4","364 mm","382 mm","18 mm","2"
"","generic_polica#7","809 mm","382 mm","18 mm","1"
"","generic_vrata#10","289 mm","382 mm","18 mm","1"
"","generic_vrata#13","1279 mm","400 mm","18 mm","1"
"","generic_vrata#1","597 mm","382 mm","18 mm","1"
"","generic_vrata#2","597 mm","382 mm","18 mm","1"
"","generic_vrata#3","190 mm","400 mm","18 mm","1"
"","generic_vrata#4","1279 mm","400 mm","18 mm","1"
"","generic_vrata#5","190 mm","400 mm","18 mm","1"
"","generic_vrata#7","1282 mm","382 mm","18 mm","2"
"","generic_vrata#8","382 mm","382 mm","18 mm","4"
"","generic_vrata#9","379 mm","541 mm","18 mm","1"
